"tweet_id","date","username","tweet"
"1467810369","Mon Apr 06 22:19:45 PDT 2009","_TheSpecialOne_","@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
"1467810672","Mon Apr 06 22:19:49 PDT 2009","scotthamilton","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!"
"1467810917","Mon Apr 06 22:19:53 PDT 2009","mattycus","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds"
"1467811184","Mon Apr 06 22:19:57 PDT 2009","ElleCTF","my whole body feels itchy and like its on fire "
"1467811193","Mon Apr 06 22:19:57 PDT 2009","Karoli","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
"2018926026","Wed Jun 03 10:43:37 PDT 2009","woompi","On the way home from SFA.. Taylor is cracking me up! "
"2018926070","Wed Jun 03 10:43:38 PDT 2009","ruannelamarine7","@KENDEE00 whats a texan feel like "
"2018926205","Wed Jun 03 10:43:38 PDT 2009","MissMON_ika","@samueltwitt1: I think it's safe to say that all of us are stoked and super excited. "
"2018926275","Wed Jun 03 10:43:39 PDT 2009","harrietsk","@rentthebwaytour is there a way to meet the cast? because I'm flying out from dubai to see the show. "
"2018926307","Wed Jun 03 10:43:39 PDT 2009","Mia_R","@simalves LOL i was contemplating on doing the same thing Sim! but i really need to sleep... i'll stay for a few more minutes... "
